iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DEU,Europe,Germany,11-03-2020,1296,157,2,0,15.468,1.874,0.024,0,,,,,,,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,12-03-2020,1567,271,3,1,18.703,3.235,0.036,0.012,,,,,,,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,13-03-2020,2369,802,5,2,28.275,9.572,0.06,0.024,,,,,,,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,14-03-2020,3062,693,5,0,36.546,8.271,0.06,0,,,,,,,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,15-03-2020,3795,733,8,3,45.295,8.749,0.095,0.036,252173,,3.01,,18208,0.217,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,16-03-2020,4838,1043,12,4,57.744,12.449,0.143,0.048,,,,,22722,0.271,tests performed,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,17-03-2020,6012,1174,13,1,71.756,14.012,0.155,0.012,,,,,27235,0.325,tests performed,42.13,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,18-03-2020,7156,1144,13,0,85.41,13.654,0.155,0,,,,,31749,0.379,tests performed,52.31,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,19-03-2020,8198,1042,13,0,97.847,12.437,0.155,0,,,,,36262,0.433,tests performed,55.09,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,20-03-2020,14138,5940,43,30,168.744,70.897,0.513,0.358,,,,,40776,0.487,tests performed,57.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,21-03-2020,18187,4049,45,2,217.07,48.327,0.537,0.024,,,,,45289,0.541,tests performed,68.06,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,22-03-2020,21463,3276,67,22,256.171,39.101,0.8,0.263,600792,,7.171,,49803,0.594,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,23-03-2020,24774,3311,94,27,295.689,39.518,1.122,0.322,,,,,50066,0.598,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,24-03-2020,29212,4438,126,32,348.659,52.97,1.504,0.382,,,,,50329,0.601,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,25-03-2020,31554,2342,149,23,376.612,27.953,1.778,0.275,,,,,50592,0.604,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,26-03-2020,36508,4954,198,49,435.74,59.128,2.363,0.585,,,,,50855,0.607,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,27-03-2020,42288,5780,253,55,504.727,68.987,3.02,0.656,,,,,51119,0.61,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,28-03-2020,48582,6294,325,72,579.849,75.122,3.879,0.859,,,,,51382,0.613,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,29-03-2020,52547,3965,389,64,627.173,47.324,4.643,0.764,962307,,11.486,,51645,0.616,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
